CVE,DESCRIP
T471,Envenenamiento por otras drogas antiácidas y que inhiben la secreción gástrica
T472,Envenenamiento por laxantes estimulantes
T473,Envenenamiento por laxantes salinos y osmóticos
T474,Envenenamiento por otros laxantes
T475,Envenenamiento por digestivos
T476,Envenenamiento por drogas antidiarreicas
T477,Envenenamiento por eméticos
T478,Envenenamiento por otros agentes que afectan principalmente el sistema gastrointestinal
T479,Envenenamiento por agentes no especificados que afectan principalmente el sistema gastrointestinal
T480,Envenenamiento por drogas oxitócicas
T481,Envenenamiento por relajantes musculoesqueléticos [agentes bloqueadores neuromusculares]
T482,Envenenamiento por otros medicamentos y los no especificados de acción principal sobre los músculos
T483,Envenenamiento por antitusígenos
T484,Envenenamiento por expectorantes
T485,Envenenamiento por drogas contra el catarro común
T486,"Envenenamiento por antiasmáticos, no clasificados en otra parte"
T487,Envenenamiento por otros agentes y los no especificados de acción principal sobre el sistema respiratorio
T490,"Envenenamiento por drogas locales antimicóticas, antiinfecciosas y antiinflamatorias, no clasificadas en otra parte"
T491,Envenenamiento por antipruríticos
T492,Envenenamiento por astringentes y detergentes locales
T493,"Envenenamiento por emolientes, demulcentes y protectores"
T494,"Envenenamiento por queratolíticos, queratoplásticos, drogas y otras preparaciones para el tratamiento del cabello"
T495,Envenenamiento por drogas y preparaciones oftalmológicas
T496,Envenenamiento por drogas y preparaciones otorrinolaringológicas
T497,"Envenenamiento por drogas dentales, aplicadas tópicamente"
T498,Envenenamiento por otros agentes tópicos
T499,"Envenenamiento por agentes tópicos, no especificados"
T500,Envenenamiento por mineralocorticoides y sus antagonistas
T501,Envenenamiento por diuréticos del asa [dintel alto]
T502,"Envenenamiento por inhibidores de la anhidrasa del ácido carbónico, benzotiazidas y otros diuréticos"
T503,"Envenenamiento por agentes del equilibrio hidrolítico, electrolítico y calórico"
T504,Envenenamiento por drogas que afectan el metabolismo del ácido úrico
T505,Envenenamiento por depresores del apetito
T506,"Envenenamiento por antídotos y agentes quelantes, no clasificados en otra parte"
T507,Envenenamiento por analépticos y antagonistas del opio
T508,Envenenamiento por agentes diagnósticos
T509,"Envenenamiento por otras drogas y sustancias biológicas, y las no especificadas"
T510,Efecto tóxico del etanol
T511,Efecto tóxico del metanol
T512,Efecto tóxico del propanol-2
T513,Efecto tóxico del licor de alcohol insuficientemente destilado
T518,Efecto tóxico de otros alcoholes
T519,"Efecto tóxico del alcohol, no especificado"
T520,Efecto tóxico de productos del petróleo
T521,Efecto tóxico del benceno
T522,Efecto tóxico de homólogos del benceno
T523,Efecto tóxico de glicoles
T524,Efecto tóxico de cetonas
T528,Efecto tóxico de otros disolventes orgánicos
T529,"Efecto tóxico de disolventes orgánicos, no especificados"
T530,Efecto tóxico del tetracloruro de carbono
T531,Efecto tóxico del cloroformo
T532,Efecto tóxico del tricloroetileno
T533,Efecto tóxico del tetracloroetileno
T534,Efecto tóxico del dicloroetano
T535,Efecto tóxico de clorofluorocarburos
T536,Efecto tóxico de otros derivados halogenados de hidrocarburos alifáticos
T537,Efecto tóxico de otros derivados halogenados de hidrocarburos aromáticos
T539,"Efecto tóxico de derivados halogenados de hidrocarburos alifáticos y aromáticos, no especificados"
T540,Efecto tóxico de fenol y homólogos del fenol
T541,Efecto tóxico de otros compuestos orgánicos corrosivos
T542,Efecto tóxico de ácidos corrosivos y sustancias ácidas similares
T543,Efecto tóxico de álcalis cáusticos y sustancias alcalinas similares
T549,"Efecto tóxico de sustancia corrosiva, no especificada"
T55X,Efecto tóxico de detergentes y jabones
T560,Efecto tóxico del plomo y sus compuestos
T561,Efecto tóxico del mercurio y sus compuestos
T562,Efecto tóxico del cromo y sus compuestos
T563,Efecto tóxico del cadmio y sus compuestos
T564,Efecto tóxico del cobre y sus compuestos
T565,Efecto tóxico del zinc y sus compuestos
T566,Efecto tóxico del estaño y sus compuestos
T567,Efecto tóxico del berilio y sus compuestos
T568,Efecto tóxico de otros metales
T569,"Efecto tóxico de metal, no especificado"
T570,Efecto tóxico del arsénico y sus compuestos
T571,Efecto tóxico del fósforo y sus compuestos
T572,Efecto tóxico del manganeso y sus compuestos
T573,Efecto tóxico del ácido cianhídrico
T578,"Efecto tóxico de otras sustancias inorgánicas, especificadas"
T579,"Efecto tóxico de sustancia inorgánica, no especificada"
T58X,Efecto tóxico del monóxido de carbono
T590,Efecto tóxico de óxidos de nitrógeno
T591,Efecto tóxico del dióxido de sulfuro
T592,Efecto tóxico del formaldehído
T593,Efecto tóxico del gas lacrimógeno
T594,Efecto tóxico del cloro gaseoso
T595,Efecto tóxico del gas de flúor y fluoruro de hidrógeno
T596,Efecto tóxico del sulfuro de hidrógeno
T597,Efecto tóxico del dióxido de carbono
T598,"Efecto tóxico de otros gases, humos y vapores especificados"
T599,"Efecto tóxico de gases, humos y vapores no especificados"
T600,Efecto tóxico de insecticidas organofosforados y carbamatos
T601,Efecto tóxico de insecticidas halogenados
T602,Efecto tóxico de otros insecticidas
T603,Efecto tóxico de herbicidas y fungicidas
T604,Efecto tóxico de rodenticidas
T608,Efecto tóxico de otros plaguicidas
T609,"Efecto tóxico de plaguicida, no especificado"
T610,Envenenamiento ciguatero por pescado
T611,Envenenamiento escombroideo por pescado
T612,Otros envenenamientos por pescados y mariscos
T618,Efecto tóxico de otros alimentos marinos
T619,Efecto tóxico de alimentos marinos no especificados
T620,Efecto tóxico de hongos ingeridos
T621,Efecto tóxico de bayas ingeridas
T622,Efecto tóxico de otra(s) (partes de) planta(s) ingerida(s)
T628,Efecto tóxico de otras sustancias nocivas especificadas ingeridas como alimento
T629,"Efecto tóxico de sustancia nociva ingerida como alimento, no especificada"
T630,Efecto tóxico del veneno de serpiente
T631,Efecto tóxico del veneno de otros reptiles
T632,Efecto tóxico del veneno de escorpión
T633,Efecto tóxico del veneno de arañas
T634,Efecto tóxico del veneno de otros artrópodos
T635,Efecto tóxico del contacto con peces
T636,Efecto tóxico del contacto con otros animales marinos
T638,Efectos tóxicos del contacto con otros animales venenosos
T639,Efecto tóxico del contacto con animal venenoso no especificado
T64X,Efecto tóxico de aflatoxina y otras micotoxinas contaminantes de alimentos
T650,Efecto tóxico del cianuro
T651,Efecto tóxico de la estricnina y sus sales
T652,Efecto tóxico del tabaco y la nicotina
T653,Efecto tóxico de nitroderivados y aminoderivados del benceno y sus homólogos
T654,Efecto tóxico del bisulfuro de carbono
T655,Efecto tóxico de nitroglicerina y otros ácidos y ésteres nítricos
T656,"Efecto tóxico de pinturas y colorantes, no clasificados en otra parte"
T658,Efecto tóxico de otras sustancias especificadas
T659,Efecto tóxico de sustancia no especificada
T66X,Efectos no especificados de la radiación
T670,Golpe de calor e insolación
T671,Síncope por calor
T672,Calambre por calor
T673,"Agotamiento por calor, anhidrótico"
T674,Agotamiento por calor debida a depleción de sal
T675,Agotamiento por calor no especificado
T676,"Fatiga por calor, transitoria"
T677,Edema por calor
T678,Otros efectos del calor y de la luz
T679,"Efecto del calor y de la luz, no especificado"
T68X,Hipotermia
T690,Mano y pie de inmersión
T691,Sabañón(es)
T698,Otros efectos especificados de la reducción de la temperatura
T699,"Efecto de la reducción de la temperatura, no especificado"
T700,Barotrauma otítico
T701,Barotrauma sinusal
T702,Otros efectos y los no especificados de la gran altitud
T703,Enfermedad por descompresión [de los cajones sumergidos]
T704,Efectos de líquidos con alta presión
T708,Otros efectos de la presión del aire y del agua
T709,"Efecto de la presión del aire y del agua, no especificado"
T71X,Asfixia
T730,Efectos del hambre
T731,Efectos de la sed
T732,Agotamiento debido a exposición a la intemperie
T733,Agotamiento debido a esfuerzo excesivo
T738,Otros efectos de privación
T739,"Efectos de privación, no especificados"
T740,Negligencia o abandono
T741,Abuso físico
T742,Abuso sexual
T743,Abuso psicológico
T748,Otros síndromes del maltrato
T749,"Síndrome del maltrato, no especificado"
T750,Efectos del rayo
T751,Ahogamiento y sumersión no mortal
T752,Efectos de la vibración
T753,Mal del movimiento
T754,Efectos de la corriente eléctrica
T758,Otros efectos especificados de causas externas
T780,Choque anafiláctico debido a reacción adversa a alimentos
T781,"Otra reacción adversa a alimentos, no clasificada en otra parte"
T782,"Choque anafiláctico, no especificado"
T783,Edema angioneurótico
T784,Alergia no especificada
T788,"Otros efectos adversos, no clasificados en otra parte"
T789,Efecto adverso no especificado
T790,Embolia gaseosa (traumática)
T791,Embolia grasa (traumática)
T792,Hemorragia traumática secundaria y recurrente
T793,"Infección postraumática de herida, no clasificada en otra parte"
T794,Choque traumático
T795,Anuria traumática
T796,Isquemia traumática de músculo
T797,Enfisema subcutáneo traumático
T798,Otras complicaciones precoces de los traumatismos
T799,Complicaciones precoces no especificadas de los traumatismos
T800,"Embolia gaseosa consecutiva a infusión, transfusión e inyección terapéutica"
T801,"Complicaciones vasculares consecutivas a infusión, transfusión e inyección terapéutica"
T802,"Infecciones consecutivas a infusión, transfusión e inyección terapéutica"
T803,Reacción de incompatibilidad al grupo ABO
T804,Reacción de incompatibilidad a Rh
T805,Choque anafiláctico debido a suero
T806,Otras reacciones al suero
T808,"Otras complicaciones consecutivas a infusión, transfusión e inyección terapéutica"
T809,"Complicaciones no especificadas consecutivas a infusión, transfusión e inyección terapéutica"
T810,"Hemorragia y hematoma que complican un procedimiento, no clasificados en otra parte"
T811,"Choque durante o resultante de un procedimiento, no clasificado en otra parte"
T812,"Punción o laceración accidental durante un procedimiento, no clasificadas en otra parte"
T813,"Desgarro de herida operatoria, no clasificado en otra parte"
T814,"Infección consecutiva a procedimiento, no clasificada en otra parte"
T815,Cuerpo extraño dejado accidentalmente en cavidad corporal o en herida operatoria consecutiva a procedimiento
T816,Reacción aguda a sustancia extraña dejada accidentalmente durante un procedimiento
T817,"Complicaciones vasculares consecutivas a procedimiento, no clasificadas en otra parte"
T818,"Otras complicaciones de procedimientos, no clasificadas en otra parte"
T819,"Complicación de procedimientos, no especificada"
T820,Complicación mecánica de prótesis de válvula cardíaca
T821,Complicación mecánica de dispositivo electrónico cardíaco
T822,Complicación mecánica de derivación de arteria coronaria e injerto valvular
T823,Complicación mecánica de otros injertos vasculares
T824,Complicación mecánica de catéter para diálisis vascular
T825,Complicación mecánica de otros dispositivos e implantes cardiovasculares
T826,Infección y reacción inflamatoria debidas a prótesis de válvula cardíaca
T827,"Infección y reacción inflamatoria debidas a otros dispositivos, implantes e injertos cardiovasculares"
T828,"Otras complicaciones especificadas de dispositivos protésicos, implantes e injertos cardiovasculares"
T829,"Complicación no especificada de dispositivo protésico, implante e injerto cardiovascular"
T830,Complicación mecánica de catéter urinario (fijo)
T831,Complicación mecánica de otros dispositivos e implantes urinarios
T832,Complicación mecánica de injerto en órgano urinario
T833,Complicación mecánica de dispositivo anticonceptivo intrauterino
T834,"Complicación mecánica de otros dispositivos, implantes e injertos en el tracto genital"
T835,"Infección y reacción inflamatoria debidas a dispositivo protésico, implante e injerto en el sistema urinario"
T836,"Infección y reacción inflamatoria debidas a dispositivo protésico, implante e injerto en el tracto genital"
T838,"Otras complicaciones de dispositivos protésicos, implantes e injertos genitourinarios"
T839,"Complicación no especificada de dispositivo protésico, implante e injerto genitourinario"
T840,Complicación mecánica de prótesis articular interna
T841,Complicación mecánica de dispositivo de fijación interna de huesos de un miembro
T842,Complicación mecánica de dispositivo de fijación interna de otros huesos
T843,"Complicación mecánica de otros dispositivos óseos, implantes e injertos"
T844,"Complicación mecánica de otros dispositivos protésicos, implantes e injertos ortopédicos internos"
T845,Infección y reacción inflamatoria debidas a prótesis articular interna
T846,infección y reacción inflamatoria debidas a dispositivo de fijación interna [cualquier sitio]
T847,"Infección y reacción inflamatoria debidas a otros dispositivos protésicos, implantes e injertos ortopédicos internos"
T848,"Otras complicaciones de dispositivos protésicos, implantes e injertos ortopédicos internos"
T849,"Complicaciones no especificadas de dispositivos protésicos, implantes e injertos ortopédicos internos"
T850,Complicación mecánica de derivación (anastomótica) ventricular intracraneal
T851,Complicación mecánica de implante de estimulador electrónico del sistema nervioso
T852,Complicación mecánica de lentes intraoculares
T853,"Complicación mecánica de otros dispositivos protésicos, implantes e injertos oculares"
T854,Complicación mecánica de prótesis e implante de mama
T855,"Complicación mecánica de dispositivo protésico, implante e injerto gastrointestinal"
T856,"Complicación mecánica de otros dispositivos protésicos, implantes e injertos internos especificados"
T857,"Infección y reacción inflamatoria debidas a otros dispositivos protésicos, implantes e injertos internos"
T858,"Otras complicaciones de dispositivos protésicos, implantes e injertos internos, no clasificadas en otra parte"
T859,"Complicación no especificada de dispositivo protésico, implante e injerto interno"
T860,Rechazo de trasplante de médula ósea
T861,Falla y rechazo de trasplante de riñón
T862,Falla y rechazo de trasplante de corazón
T863,Falla y rechazo de trasplante de pulmón-corazón
T864,Falla y rechazo de trasplante de hígado
T868,Falla y rechazo de otros órganos y tejidos trasplantados
T869,Falla y rechazo de trasplante de órgano y tejido no especificado
T870,Complicaciones de la reinserción (de parte) de extremidad superior
T871,Complicaciones de la reinserción (de parte) de extremidad inferior
T872,Complicaciones de otras partes del cuerpo reinsertadas
T873,Neuroma de muñón de amputación
T874,Infección de muñón de amputación
T875,Necrosis de muñón de amputación
T876,Otras complicaciones y las no especificadas de muñón de amputación
T880,Infección consecutiva a inmunización
T881,"Otras complicaciones consecutivas a inmunización, no clasificadas en otra parte"
T882,Choque debido a la anestesia
T883,Hipertermia maligna debida a la anestesia
T884,Falla o dificultad de la intubación
T885,Otras complicaciones de la anestesia
T886,Choque anafiláctico debido a efecto adverso de droga o medicamento correcto administrado apropiadamente
T887,Efecto adverso no especificado de droga o medicamento
T888,"Otras complicaciones especificadas de la atención médica y quirúrgica, no clasificadas en otra parte"
T889,Complicaciones no especificadas de la atención médica y quirúrgica
T900,Secuelas de traumatismo superficial de la cabeza
T901,Secuelas de herida de la cabeza
T902,Secuelas de fractura del cráneo y de huesos faciales
T903,Secuelas de traumatismo de nervios craneales
T904,Secuelas de traumatismo del ojo y de la órbita
T905,Secuelas de traumatismo intracraneal
T908,Secuelas de otros traumatismos especificados de la cabeza
T909,Secuelas de traumatismo no especificado de la cabeza
T910,Secuelas de traumatismo superficial y de heridas del cuello y del tronco
T911,Secuelas de fractura de la columna vertebral
T912,Secuelas de otra fractura del tórax y de la pelvis
T913,Secuelas de traumatismo de la médula espinal
T914,Secuelas de traumatismo de órganos intratorácicos
T915,Secuelas de traumatismo de órganos intraabdominales y pélvicos
T918,Secuelas de otros traumatismos especificados del cuello y del tronco
T919,Secuelas de traumatismo no especificado del cuello y del tronco
T920,Secuelas de herida de miembro superior
T921,Secuelas de fractura del brazo
T922,Secuelas de fractura de la muñeca y de la mano
T923,"Secuelas de luxación, torcedura y esquince de miembro superior"
T924,Secuelas de traumatismo de nervio de miembro superior
T925,Secuelas de traumatismo de tendón y músculo de miembro superior
T926,Secuelas de aplastamiento y amputación traumáticas de miembro superior
T928,Secuelas de otros traumatismos especificados de miembro superior
T929,Secuelas de traumatismo no especificado de miembro superior
T930,Secuelas de herida de miembro inferior
T931,Secuelas de fractura del fémur
T932,Secuelas de otras fracturas de miembro inferior
T933,"Secuelas de luxación, torcedura y esguince de miembro inferior"
T934,Secuelas de traumatismo de nervio de miembro inferior
T935,Secuelas de traumatismo de tendón y músculo de miembro inferior
T936,Secuelas de aplastamiento y amputación traumáticas de miembro inferior
T938,Secuelas de otros traumatismos especificados de miembro inferior
T939,Secuelas de traumatismo no especificado de miembro inferior
T940,Secuelas de traumatismos que afectan múltiples regiones del cuerpo
T941,Secuelas de traumatismos de regiones no especificadas del cuerpo
T950,"Secuelas de quemadura, corrosión y congelamiento de la cabeza y del cuello"
T951,"Secuelas de quemadura, corrosión y congelamiento del tronco"
T952,"Secuelas de quemadura, corrosión y congelamiento de miembro superior"
T953,"Secuelas de quemadura, corrosión y congelamiento de miembro inferior"
T954,Secuelas de quemadura y corrosión clasificables sólo de acuerdo con la extensión de la superficie del cuerpo afectada
T958,"Secuelas de otras quemaduras, corrosiones y congelamientos especificados"
T959,"Secuelas de quemadura, corrosión y congelamiento no especificados"
T96X,"Secuelas de envenenamientos por drogas, medicamentos y sustancias biológicas"
T97X,Secuelas de efectos tóxicos de sustancias de procedencia principalmente no medicinal
T980,Secuelas de efectos de cuerpos extraños que penetran en orificios naturales
T981,Secuelas de otros efectos y los no especificados de causas externas
T982,Secuelas de ciertas complicaciones precoces de los traumatismos
T983,"Secuelas de complicaciones de la atención médica y quirúrgica, no clasificadas en otras parte"
